Company Name,Industry Relation,Domain,Size,Description,2024 Revenue USD,Decision Maker,Event Name
dbi signs,signage,dbi-asia.com,51-200,"European HQ office in Milano 
ASIA Head office in Shanghai & Factory in Xuzhou - Sales office in Beijing, Shanghai & Hong Kong",0,,ISA Sign Expo 2025
"Aurora Science and Technology Co., Ltd",technology,auroras.com.cn,51-200,"Aurora has been specialized in corporate image design, production and installation for advertisement signage over 15 years. 
We are offering package services including design, fabrication, engineering, project management, after-sale service and procurement consultant to our clients with famous brand in domestic and overseas. 
Our long-term clients mainly include Nike, McDonald's,Starbucks, Victoria's Secret, Bath and Body Works, Converse, Jordan, 7-11,   etc.",0,,ISA Sign Expo 2025
Easelly Wrap Design,graphics,easel.ly,2-10,Easel is a digital platform that helps you find and commission artists.,0,,ISA Sign Expo 2025
Laguna Tools Inc.,tools,lagunatools.com,51-200,"Laguna Tools, based in Grand Prairie, Texas, has been leading the industry in woodworking innovations for over 40 years and continues to challenge the industry with new advancements. At Laguna Tools we aim to be “globally local” as we are involved in many community outreach programs in which we offer our time, support, products, and services.",0,Catherine Helshoj,ISA Sign Expo 2025
Photo Tex,graphics,phototexgroup.com,51-200,"Xante Corporation provides affordable, state-of-the-art digital imaging, printing and prepress solutions for commercial offset, flexo, in-plant, and specialty printers worldwide. 

Xante Corporation headquarters is located in Mobile, Alabama, USA, with offices in Duiven, The Netherlands; and Zhengzhou, China. Xante products are distributed through a world-wide network of reseller and distribution partners. 

For more information call in U.S. and Canada: 251.473.6502, in Europe: +31 (0) 26.319.3210 or visit xante.com 

Mobile, AL 36606 
USA 
http://xante.com",19200000,Mark Priede,ISA Sign Expo 2025
Duraluxe Inc.,printing,duraluxepanels.com,11-50,"Duraluxe, the global leader in the manufacturing of technically advanced, patented, eco-friendly powder coated dye sublimatable aluminum panels for the photo and sign industry. Captivate your audience like never before with Duraluxe High Definition Ultimate Photo Panels in eight finishes. Trust Duraluxe to preserve your images for generations to come. See and Touch the Duraluxe difference.",0,,ISA Sign Expo 2025
EPM INTERNATIONAL TRADE LLC,trade,epm-international.com,501-1000,"EPM International is a leading provider of full life cycle services for Enterprise Performance Management (EPM). Our services range from defining leading edge performance management processes and an associated performance management roadmap through to project management, implementation and application management services. The depth and focus of our EPM application skills are unparalleled and enable us to command a leading presence within the EPM sector. These EPM application skills are supplemented with finance, information technology, business and process skills. It is this holistic skill set with our passion for excellence, dedication and focus to our client’s situation which truly creates sustainable value.

If you work with EPM International members you get full access to the resources and expertise of your local EPM International member but supplemented by the additional expertise, competence and deep collective EPM research, knowledge and technical skills of all EPM International members. This gives you access to the largest specialist EPM network in the world.

The only integrated EPM consulting network with global reach",0,,ISA Sign Expo 2025
4Ever Products,products,4everproducts.com,11-50,"4Ever Products is headquartered in Bloomington, Indiana  and was founded in 1998 as a manufacturer of architectural signage.

4Ever Products has developed a complete line up of architectural sign frames and real estate posts over the last 25 years. 4Ever Products products are designed for applications such as universities, office parks, homeowner associations,  planned communities, hotels, shopping malls, golf courses, and industrial parks.",0,,ISA Sign Expo 2025
AA LED Supply Corp.,LED supply,aaleds.com,11-50,,0,,ISA Sign Expo 2025
"Component Signage, Inc.",signage,componentsignage.com,11-50,"Component Signage, Inc. is an industry leading wholesale manufacturer of architectural signage ranging from post and panel, directional/wayfinding, wall mount, monument, pylon, LED & florescent illumination, interior signs, and mill finish extrusions. All products are factory direct, sold strictly to the trade, and are completed with industry-leading turn around time. Contact us today for any quote requests or technical questions you may have.",0,Zac Early,ISA Sign Expo 2025
